"PassengerId","Survived"
2,1
6,0
7,0
14,0
17,0
19,1
21,0
23,1
27,0
28,0
35,0
38,0
40,1
42,1
44,1
48,1
49,0
56,0
59,1
61,0
63,0
65,0
69,1
70,0
77,0
80,1
82,0
84,0
86,1
90,0
91,0
98,0
101,1
103,0
105,0
107,1
111,0
112,1
119,0
122,0
124,1
126,0
128,0
132,0
133,1
140,0
143,1
145,0
147,0
149,0
153,0
154,0
161,0
164,0
166,0
168,1
170,0
174,0
175,0
182,0
185,1
187,1
189,0
191,1
195,1
196,1
203,0
206,1
208,0
210,0
212,1
216,1
217,1
224,0
227,0
229,0
231,1
233,0
237,0
238,1
245,0
248,1
250,0
252,1
254,0
258,1
259,1
266,0
269,1
271,0
273,1
275,1
279,0
280,1
287,0
290,1
292,1
294,1
296,0
300,1
301,1
308,1
311,1
313,1
315,0
317,1
321,0
322,0
329,1
332,0
334,0
336,0
338,1
342,1
343,0
350,0
353,0
355,0
357,1
359,1
363,1
364,0
371,0
374,0
376,1
378,0
380,0
384,1
385,0
392,0
395,1
397,1
399,0
401,0
405,1
406,0
413,1
416,1
418,1
420,1
422,0
426,0
427,1
434,0
437,1
439,0
441,1
443,0
447,1
448,0
455,0
458,1
460,0
462,0
464,0
468,0
469,0
476,0
479,0
481,0
483,0
485,0
489,0
490,0
497,1
500,0
502,1
504,1
506,0
510,0
511,0
518,0
521,1
523,0
525,0
527,1
531,1
532,0
539,0
542,1
544,0
546,0
548,0
552,0
553,0
560,1
563,0
565,1
567,0
569,0
573,0
574,1
581,1
584,0
586,1
588,0
590,0
594,1
595,0
602,0
605,0
607,0
609,1
611,1
615,0
616,1
623,0
626,0
628,1
630,0
632,0
636,1
637,0
644,0
647,0
649,0
651,0
653,0
657,0
658,1
665,0
668,0
670,1
672,0
674,0
678,1
679,1
686,0
689,0
691,0
693,0
695,0
699,0
700,0
707,1
710,0
712,0
714,0
716,0
720,0
721,1
728,1
731,1
733,0
735,0
737,1
741,0
742,0
749,0
752,0
754,0
756,0
758,0
762,0
763,0
770,0
773,1
775,1
777,0
779,0
783,0
784,0
791,0
794,0
796,0
798,1
800,1
804,0
805,0
812,0
815,0
817,1
819,0
821,1
825,0
826,0
833,0
836,1
838,0
840,0
842,0
846,0
847,0
854,1
857,1
859,1
861,0
863,1
867,1
868,0
875,1
878,0
880,1
882,0
884,0
888,1
889,1
896,1
899,0
901,0
903,0
905,0
909,0
910,1
917,0
920,0
922,0
924,1
926,0
930,0
931,0
938,0
941,1
943,0
945,1
947,0
951,1
952,0
959,0
962,1
964,1
966,1
968,0
972,0
973,0
980,1
983,0
985,0
987,0
989,0
993,0
994,0
1001,0
1004,1
1006,1
1008,0
1010,0
1014,1
1015,0
1022,0
1025,0
1027,0
1029,0
1031,0
1035,0
1036,0
1043,0
1046,0
1048,1
1050,0
1052,1
1056,0
1057,1
1064,0
1067,1
1069,0
1071,1
1073,0
1077,0
1078,1
1085,0
1088,0
1090,0
1092,1
1094,0
1098,1
1099,0
1106,1
1109,0
1111,0
1113,0
1115,0
1119,1
1120,0
1127,0
1130,1
1132,1
1134,0
1136,0
1140,1
1141,1
1148,0
1151,0
1153,0
1155,1
1157,0
1161,0
1162,0
1169,0
1172,1
1174,1
1176,1
1178,0
1182,0
1183,1
1190,0
1193,0
1195,0
1197,1
1199,0
1203,0
1204,0
1211,0
1214,0
1216,1
1218,1
1220,0
1224,0
1225,1
1232,0
1235,1
1237,1
1239,1
1241,1
1245,0
1246,1
1253,1
1256,1
1258,0
1260,1
1262,0
1266,1
1267,1
1274,1
1277,1
1279,0
1281,0
1283,1
1287,1
1288,0
1295,0
1298,0
1300,1
1302,1
1304,1
1308,0
1309,0
